               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052603,            0.018525,                   0,              0.9984,             0.99801,             0.99495,             0.72688,            0.022137,           0.0068783,                   0,            0.070044,           0.0033285,           0.0033285
                   1,            0.034867,            0.010539,                   0,             0.99968,             0.99934,               0.995,             0.80544,            0.015594,           0.0047497,                   0,            0.040022,           0.0066398,           0.0066398
                   2,            0.030077,           0.0088217,                   0,              0.9997,                   1,               0.995,             0.84538,            0.013477,           0.0038687,                   0,           0.0099778,           0.0099292,           0.0099292
                   3,            0.025211,           0.0079728,                   0,             0.99961,             0.99968,               0.995,             0.87346,            0.011574,           0.0034391,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.021304,           0.0071856,                   0,             0.99998,                   1,               0.995,             0.88075,            0.011006,           0.0032814,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.018718,           0.0064964,                   0,             0.99998,                   1,               0.995,             0.91324,           0.0087717,           0.0028484,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.017633,           0.0062601,                   0,             0.99998,                   1,               0.995,             0.91804,           0.0084523,           0.0027802,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.016685,           0.0060337,                   0,             0.99998,                   1,               0.995,             0.92454,           0.0079876,           0.0026051,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.015929,           0.0058623,                   0,             0.99997,                   1,               0.995,             0.93043,           0.0078431,           0.0025599,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.015566,           0.0057229,                   0,             0.99998,                   1,               0.995,             0.93882,           0.0074642,            0.002449,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.014934,           0.0056593,                   0,             0.99996,                   1,               0.995,             0.93804,             0.00731,           0.0025374,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.014584,           0.0054407,                   0,             0.99998,                   1,               0.995,             0.94458,           0.0070714,           0.0024045,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.014441,           0.0053276,                   0,             0.99998,                   1,               0.995,              0.9309,           0.0074258,           0.0024576,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.014206,           0.0052982,                   0,             0.99998,                   1,               0.995,             0.94534,           0.0070025,             0.00235,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.013837,           0.0052827,                   0,             0.99998,                   1,               0.995,             0.94666,           0.0068469,           0.0023028,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.013618,           0.0052161,                   0,             0.99998,                   1,               0.995,              0.9524,           0.0066521,           0.0022881,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.013254,           0.0051247,                   0,             0.99998,                   1,               0.995,             0.95129,           0.0066334,           0.0022584,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.013163,           0.0050487,                   0,             0.99998,                   1,               0.995,             0.95158,           0.0066699,           0.0022884,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.013091,           0.0051078,                   0,             0.99998,                   1,               0.995,             0.95179,            0.006447,           0.0022221,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.012881,           0.0049858,                   0,             0.99998,                   1,               0.995,             0.96189,           0.0062141,            0.002186,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.012722,           0.0049336,                   0,             0.99998,                   1,               0.995,             0.96081,            0.006293,           0.0021863,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.012648,           0.0049369,                   0,             0.99998,                   1,               0.995,             0.96217,           0.0061434,            0.002159,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.012308,           0.0048478,                   0,             0.99998,                   1,               0.995,             0.95634,           0.0061474,            0.002119,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.012438,           0.0048601,                   0,             0.99998,                   1,               0.995,             0.96104,           0.0060723,            0.002093,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.012463,           0.0048803,                   0,                   1,             0.99999,               0.995,             0.96508,            0.006016,           0.0021313,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.012257,           0.0048263,                   0,             0.99998,                   1,               0.995,             0.96141,           0.0060512,           0.0021175,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.012204,            0.004775,                   0,             0.99998,                   1,               0.995,             0.96384,           0.0059299,           0.0021095,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.012088,           0.0048065,                   0,             0.99998,                   1,               0.995,             0.96582,           0.0058574,           0.0020324,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.011823,           0.0046261,                   0,             0.99998,                   1,               0.995,             0.96403,           0.0058925,           0.0020369,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.011606,           0.0045906,                   0,             0.99998,                   1,               0.995,             0.96682,           0.0056929,           0.0020588,                   0,            0.009076,            0.009076,            0.009076
