               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,           0.0094861,           0.0038108,                   0,             0.99998,                   1,               0.995,             0.97646,           0.0051665,           0.0018953,                   0,            0.008746,            0.008746,            0.008746
                  40,           0.0094125,           0.0037871,                   0,             0.99998,                   1,               0.995,             0.97602,           0.0052518,           0.0018854,                   0,            0.008713,            0.008713,            0.008713
                  41,           0.0093706,           0.0038035,                   0,             0.99998,                   1,               0.995,             0.97777,           0.0051969,           0.0018978,                   0,             0.00868,             0.00868,             0.00868
                  42,           0.0094197,            0.003772,                   0,             0.99998,                   1,               0.995,             0.97736,           0.0051258,           0.0018759,                   0,            0.008647,            0.008647,            0.008647
                  43,           0.0092201,           0.0037409,                   0,             0.99998,                   1,               0.995,              0.9777,           0.0050769,           0.0018544,                   0,            0.008614,            0.008614,            0.008614
                  44,           0.0091127,           0.0037316,                   0,             0.99998,                   1,               0.995,             0.97891,           0.0050757,           0.0018596,                   0,            0.008581,            0.008581,            0.008581
                  45,           0.0092347,           0.0037271,                   0,             0.99998,                   1,               0.995,             0.97867,           0.0050796,           0.0018512,                   0,            0.008548,            0.008548,            0.008548
                  46,           0.0092857,           0.0037016,                   0,             0.99998,                   1,               0.995,             0.97867,           0.0050458,           0.0018401,                   0,            0.008515,            0.008515,            0.008515
                  47,           0.0091466,            0.003684,                   0,             0.99998,                   1,               0.995,             0.98046,           0.0050371,           0.0018365,                   0,            0.008482,            0.008482,            0.008482
                  48,           0.0091888,           0.0037202,                   0,             0.99998,                   1,               0.995,             0.97929,           0.0050026,           0.0018313,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.008999,           0.0036118,                   0,             0.99998,                   1,               0.995,             0.98026,           0.0050094,           0.0018308,                   0,            0.008416,            0.008416,            0.008416
                  50,           0.0091639,           0.0036931,                   0,             0.99998,                   1,               0.995,             0.98061,           0.0050065,           0.0018093,                   0,            0.008383,            0.008383,            0.008383
                  51,           0.0090483,           0.0036636,                   0,             0.99998,                   1,               0.995,             0.98073,           0.0049626,           0.0018121,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.008895,           0.0036316,                   0,             0.99998,                   1,               0.995,             0.98055,           0.0049343,           0.0018042,                   0,            0.008317,            0.008317,            0.008317
                  53,           0.0088908,            0.003623,                   0,             0.99998,                   1,               0.995,             0.98014,           0.0049007,           0.0018017,                   0,            0.008284,            0.008284,            0.008284
                  54,           0.0090469,           0.0037048,                   0,             0.99998,                   1,               0.995,             0.98055,           0.0048689,           0.0018059,                   0,            0.008251,            0.008251,            0.008251
                  55,           0.0089472,           0.0036591,                   0,             0.99998,                   1,               0.995,             0.98159,           0.0048588,            0.001801,                   0,            0.008218,            0.008218,            0.008218
                  56,           0.0088248,            0.003591,                   0,             0.99998,                   1,               0.995,             0.98129,           0.0048375,           0.0017985,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.008863,           0.0036328,                   0,             0.99998,                   1,               0.995,              0.9821,           0.0048005,           0.0017811,                   0,            0.008152,            0.008152,            0.008152
                  58,           0.0088786,           0.0035822,                   0,             0.99998,                   1,               0.995,              0.9824,           0.0048128,           0.0017901,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.008841,            0.003637,                   0,             0.99998,                   1,               0.995,             0.98215,           0.0048003,           0.0017845,                   0,            0.008086,            0.008086,            0.008086
                  60,           0.0088345,           0.0035943,                   0,             0.99998,                   1,               0.995,             0.98206,           0.0047706,           0.0017718,                   0,            0.008053,            0.008053,            0.008053
                  61,           0.0087199,           0.0035922,                   0,             0.99998,                   1,               0.995,             0.98253,           0.0047633,           0.0017685,                   0,             0.00802,             0.00802,             0.00802
                  62,           0.0087063,           0.0035935,                   0,             0.99998,                   1,               0.995,             0.98193,           0.0047658,            0.001778,                   0,            0.007987,            0.007987,            0.007987
                  63,           0.0087142,           0.0036237,                   0,             0.99998,                   1,               0.995,             0.98252,           0.0047556,           0.0017853,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.008733,           0.0035418,                   0,             0.99998,                   1,               0.995,             0.98271,           0.0047354,           0.0017842,                   0,            0.007921,            0.007921,            0.007921
                  65,           0.0087421,            0.003533,                   0,             0.99998,                   1,               0.995,             0.98304,           0.0047396,           0.0017713,                   0,            0.007888,            0.007888,            0.007888
                  66,           0.0085433,           0.0035775,                   0,             0.99998,                   1,               0.995,             0.98319,            0.004724,           0.0017657,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.008633,            0.003533,                   0,             0.99998,                   1,               0.995,             0.98301,           0.0047318,           0.0017618,                   0,            0.007822,            0.007822,            0.007822
                  68,           0.0085683,           0.0035069,                   0,             0.99998,                   1,               0.995,             0.98285,           0.0047243,           0.0017566,                   0,            0.007789,            0.007789,            0.007789
                  69,           0.0085573,           0.0035057,                   0,             0.99998,                   1,               0.995,             0.98299,           0.0047261,           0.0017518,                   0,            0.007756,            0.007756,            0.007756
                  70,           0.0085326,           0.0034869,                   0,             0.99998,                   1,               0.995,             0.98369,            0.004721,           0.0017518,                   0,            0.007723,            0.007723,            0.007723
                  71,           0.0083994,           0.0034784,                   0,             0.99998,                   1,               0.995,             0.98343,           0.0047043,           0.0017513,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.008369,           0.0035117,                   0,             0.99998,                   1,               0.995,             0.98359,           0.0046928,           0.0017516,                   0,            0.007657,            0.007657,            0.007657
                  73,           0.0084436,           0.0035011,                   0,             0.99998,                   1,               0.995,              0.9836,           0.0046902,           0.0017531,                   0,            0.007624,            0.007624,            0.007624
                  74,           0.0083222,           0.0034776,                   0,             0.99998,                   1,               0.995,              0.9838,            0.004687,           0.0017538,                   0,            0.007591,            0.007591,            0.007591
                  75,           0.0082968,           0.0034604,                   0,             0.99998,                   1,               0.995,             0.98353,           0.0046788,           0.0017522,                   0,            0.007558,            0.007558,            0.007558
                  76,           0.0083969,           0.0034545,                   0,             0.99998,                   1,               0.995,             0.98369,           0.0046709,           0.0017511,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.008317,           0.0034875,                   0,             0.99998,                   1,               0.995,             0.98408,            0.004667,           0.0017487,                   0,            0.007492,            0.007492,            0.007492
